ID,Subject
202001918,ECEN101C+MATH201+MATH203+NSCI102
202001932,MKTG417+NSCI103
202001954,CSCI217+CSCI465+ECE346+ECE471+ECEN438
202002018,ECE231+ECE314+ECE322+ECE471+ECEN438
202002077,IND252+IND323+IND324+MTH112+MTH216
202002082,CSCI305+CSCI315+CSCI419+CSCI451+MATH301
202002095,ECE151+ECE241+ECE345+ECE346+HUMA001/101 (Room)+HUMA102+MTH112
202002142,ARC111+ECE151+PHY111/PHYS001
202002146,MENG327+MNG372+MTH214+MTH216+SSCI201
202002162,CSCI419
202002167,CVL313+CVL441+ECE151+MTH216
202002173,ACCT201+MATH201B+MGMT402
202002250,CSCI208+CSCI465+ECEN428+ECEN438+MTH113
202002281,MENG422+MNG271+MNG321+MNG363
202002319,ACCT201+ECON201+HUMA102+MATH201B+MOIT301
202002365,ECE322
202002372,MENG327+MENG422+MNG241+MNG271+MNG363
202002391,ACCT303+OPMG303+OPMG405
202002417,CSCI315+CSCI465+MATH210+NSCI102
202002459,MGMT402+MOIT301+OPMG401
202002462,HUMA001/101 (Room)+MNG232+MNG241+MNG321+MNG363
202002486,BSAD420+NSCI103+SSCI102
202002544,CSCI415+CSCI465+CSCI467+MATH301
202002563,ACCT303+MGMT402+OPMG401
202002592,CVL315+CVL411+CVL432+MTH113
202002593,CSCI305+CSCI417+CSCI419+CSCI461
202002627,ECE252+ECE355+ECEN428+ECEN438
202002644,ECON201+MOIT301+OPMG405
202002646,ACCT303
202002652,CSCI465+ECE314+ECE322+ECEN438+IND325+SSCI102
202002734,MKTG303+MKTG307+NSCI103
202002745,ECE121+ECE231+ECE252+ECEN428+MTH113
202002787,MNG223+MNG232+MTH215
202002791,MENG327+MENG422+MNG241+MNG321+MNG363
202002806,MGMT201+NSCI102+OPMG302
202002858,FINC305
202002876,CSCI305+CSCI311+CSCI322+CSCI417
202002991,ACCT303+OPMG304
202002992,FINC301+MGMT402+MOIT301+OPMG302+OPMG405
202002999,IENG315+IENG345+IENG408+IND252+IND324+MTH215
202003002,ECEN101C
202003071,CSCI461+CSCI465+HUMA102+MATH210
202003118,CVL315+CVL411+CVL441+SSCI201
211000017,ACCT303+OPMG304+OPMG401+OPMG406+OPMG420
211000018,CSCI415+CSCI419+CSCI465+HUMA001/101 (Room)
211000023,ACCT301+ACCT303+FINC302+FINC305
211000033,ARUD478
211000045,ARUD344+ARUD356/CVL317+ARUD363
211000058,CSCI207+MATH100
211000065,ARUD478
211000070,ARUD478
211000075,AIS323+AIS431+CSCI315+CSCI322+SSCI201
211000088,CSCI417+CSCI465+ECE322+ECEN428+ECEN438
211000089,MGMT402+OPMG301
211000093,AIS421+CSCI322+MATH203I+SSCI201
211000096,CSCI315+CSCI415+CSCI467+CSCI482+ECEN101C
211000107,CSCI419+CSCI451+ECE335+ECE338+MEC112
211000122,IENG345+IND242+IND252+IND325
211000124,ARUD478
211000136,MEC112+MTH214+MTH215+PHY111/PHYS001
211000140,CSCI305+CSCI315+CSCI417+CSCI419+CSCI461+MATH203
211000143,FINC301+FINC305+MKTG417+MKTG470+SSCI102
211000144,ARUD478
211000170,APBI410+CBIO204+CBIO409+MATH103B+MICR405
211000184,ARUD478
211000194,CSCI419+CSCI451+ECE338+ECEN465
211000195,OPMG303
211000206,CSCI212/CSCI221+CSCI417+CSCI419+MATH301I
211000208,MENG327+MNG223+MNG363+MNG372+SSCI201
211000230,CSCI208+ECE213+ECE231+ECE241+ECE314+ECE322
211000235,CVL311+CVL315+CVL334+CVL432+CVL441
211000239,SSCI201
211000254,ECEN101C
211000299,CSCI315+CSCI417+CSCI419+ECE252+ECE322+ECEN428
211000308,CSCI315+CSCI415+CSCI461+CSCI467+MATH203
211000312,CSCI208+CSCI451+ECE338+ECEN465
211000318,MATH110B+MGMT201
211000348,MKTG401+MKTG417+SSCI102
211000364,ARUD478
211000374,ARUD478
211000377,ACCT303+FINC305
211000402,CSCI417+CSCI465+ECEN438
211000403,ARUD478+MTH113
211000410,ACCT303+OPMG401
211000420,CSCI305+CSCI417+CSCI419+ECEN101C+MATH210
211000425,CSCI465+ECE322+ECEN438
211000437,CSCI208+CSCI322+CSCI451+ECEN465
211000449,CSCI455+MATH210+MATH301+NSCI102+SSCI102
211000471,MKTG307+MKTG405+MKTG417+MKTG470
211000524,CSCI315+MATH201+MATH210+MATH301
211000544,FINC301+OPMG401+SSCI102
211000558,APBI101+APBI102+APBI305+APBI306+APBI410+CBIO306
211000560,CVL321+MEC111+MTH112
211000565,MATH201
211000573,ACCT202+FINC301+MKTG302+MKTG304+MKTG305+MOIT301
211000589,CSCI208+ECE233+ECE322+ECE345+ECE462+ECE471
211000590,AIS302+AIS323+CSCI311
211000633,AIS201+AIS421+AIS477
211000643,ARUD478
211000646,ARUD478
211000699,CSCI208+CSCI217+CSCI322+ECE233+ECEN449+SSCI201
211000703,APBI410+MATH103B+PHY102
211000706,CSCI322+ECE232+ECE335+ECE338+ECEN465
211000709,FINC302+FINC406+FINC407+FINC408
211000732,OPMG302
211000749,ECEN101C+MATH112+MATH113/MATH211+MATH201
211000763,MKTG303+MKTG304+MKTG417+MKTG470
211000778,ARUD478
211000782,AIS201+CSCI217
211000819,MEC112+MNG232+MNG241+MNG321+MNG333+MNG372
211000837,CSCI415+CSCI455+MATH113/MATH211+MATH210+NSCI102
211000852,APBI305+APBI306+BIO206+CBIO203
211000875,ACCT301+FINC406+FINC408
211000876,IND252
211000907,CBIO203+CBIO204+MICR202+PHY102
211000912,CSCI417+CSCI467+CSCI482+HUMA001/101 (Room)
211000961,ACCT202+FINC301+MOIT301+OPMG302
211000964,CSCI322+ECE232+ECE335+ECE338+ECEN465
211000970,MKTG303+MKTG304+MKTG307+MKTG417+MKTG470
211001020,IND212+IND323+IND324+IND325+IND333+IND356
211001057,ACCT303+NSCI102+NSCI103+OPMG401
211001058,MKTG304+MKTG417+MKTG470
211001073,CSCI417+ECE252+ECE314+ECE322+ECE338+ECEN428
211001081,ECE121+ECE213+ECE232+ECE233+ECE314+ECE335
211001087,CSCI208+CSCI217+ECEN101C+HUMA102+MATH201
211001097,FINC301+MKTG302+MOIT301+OPMG301
211001101,CSCE101B+NSCI103+OPMG302
211001131,ECE315+IENG315+IENG324+IENG345+IENG408+IND323
